タイムスタンプ,あなたのクラウドワークス ユーザID（ユーザーIDとは、クラウドワークスサイトの公開プロフィールページURL （https://crowdworks.jp/public/employers/xxxxxxxx）の末尾にある、クラウドワークスサイトの会員ごとに割り当てられた数字「xxxxxxxx」となります。）,あなたの年齢,あなたの性別,トレーナーとして受け入れることができる,話の聞き手として受け入れることができる,リアルだ,不気味だ,信頼できる,目が好みだ,顔が好みだ,髪が好みだ,声が好みだ,年齢が好みだ,服装が好みだ,好みだ,親しみやすい,トレーナーとして受け入れることができる,話の聞き手として受け入れることができる,リアルだ,不気味だ,信頼できる,目が好みだ,顔が好みだ,髪が好みだ,声が好みだ,年齢が好みだ,服装が好みだ,好みだ,親しみやすい
2021/01/18 2:55:37 午後 GMT+9,508329,36,女性,3,4,4,3,4,2,2,3,2,4,4,3,3,4,5,4,4,4,2,1,4,2,3,2,2,3
2021/01/18 2:55:44 午後 GMT+9,152370,34,男性,2,2,2,4,3,2,2,4,2,2,2,2,3,3,3,4,4,2,3,3,2,1,2,2,2,2
2021/01/18 2:55:58 午後 GMT+9,1034994,44,男性,2,2,1,4,2,1,1,1,1,2,1,1,2,2,2,1,4,2,1,1,1,1,2,1,1,1
2021/01/18 2:55:58 午後 GMT+9,3515097,52,女性,4,4,3,4,5,4,5,5,4,4,5,4,4,5,5,5,2,5,5,5,5,4,5,4,4,5
2021/01/18 2:56:02 午後 GMT+9,3316346,25,男性,3,4,4,3,3,2,3,3,2,3,3,3,3,3,3,4,4,3,2,2,2,2,3,3,2,3
2021/01/18 2:56:07 午後 GMT+9,201371,49,男性,4,4,2,2,3,3,3,3,2,3,3,3,3,4,4,2,3,3,2,2,2,2,3,3,3,3
2021/01/18 2:56:29 午後 GMT+9,2936962,34,女性,3,4,3,3,3,3,2,4,2,3,3,3,2,1,2,2,5,2,2,1,2,3,2,3,3,2
2021/01/18 2:56:32 午後 GMT+9,4107229,31,男性,3,3,4,4,4,2,1,2,2,3,3,3,3,2,2,4,5,2,2,1,1,3,2,2,1,1
2021/01/18 2:56:36 午後 GMT+9,138525,46,男性,2,3,2,3,3,3,2,2,1,1,2,2,2,2,2,3,1,4,2,1,2,2,2,2,1,2
2021/01/18 2:56:36 午後 GMT+9,381034,35,女性,4,3,4,3,4,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,2,3,3,3,2,2
2021/01/18 2:56:37 午後 GMT+9,517742,44,男性,3,4,1,4,3,3,2,3,1,3,3,1,2,4,4,3,2,3,3,2,3,3,3,4,2,3
2021/01/18 2:56:44 午後 GMT+9,992473,33,男性,4,4,2,4,3,2,2,2,2,2,2,2,2,1,1,3,5,2,1,1,1,1,1,2,1,1
2021/01/18 2:57:10 午後 GMT+9,3938139,41,女性,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,4,1,1,1,1,2,2,1,1,1
2021/01/18 2:57:25 午後 GMT+9,266202,51,男性,3,3,1,4,2,1,1,1,1,1,3,2,1,3,3,2,2,2,1,1,1,3,1,2,2,2
2021/01/18 2:57:25 午後 GMT+9,2701960,41,女性,3,2,4,4,3,3,2,2,1,3,3,2,3,2,2,3,3,2,2,2,3,2,3,3,2,2
2021/01/18 2:57:27 午後 GMT+9,757433,40,男性,5,4,4,1,4,3,3,3,2,3,3,3,4,4,4,4,2,3,2,2,2,3,3,2,2,3
2021/01/18 2:57:36 午後 GMT+9,276010,35,女性,4,4,2,3,3,3,2,2,2,3,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2
2021/01/18 2:57:42 午後 GMT+9,1791041,37,男性,3,3,2,4,2,2,2,4,3,3,4,2,2,3,2,2,4,2,1,1,3,2,2,3,2,2
2021/01/18 2:57:46 午後 GMT+9,3538501,31,女性,4,5,5,2,5,3,4,4,5,4,5,4,5,5,4,5,4,5,2,3,2,5,4,5,4,4
2021/01/18 2:57:49 午後 GMT+9,1751777,34,男性,4,4,3,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,2
2021/01/18 2:57:49 午後 GMT+9,120691,53,女性,4,4,3,2,4,4,4,4,4,3,3,3,4,3,3,3,2,4,2,2,2,2,3,1,2,3
2021/01/18 2:58:01 午後 GMT+9,367640,48,男性,2,2,2,4,2,2,2,2,1,4,4,2,2,2,2,1,5,2,2,1,1,1,3,3,1,1
2021/01/18 2:58:03 午後 GMT+9,1173765,39,男性,1,1,1,5,2,2,1,3,1,3,3,1,1,1,1,1,5,1,1,1,2,1,1,2,1,1
2021/01/18 2:58:07 午後 GMT+9,652959,31,女性,4,4,3,1,4,4,4,4,3,3,4,4,4,4,4,3,2,3,3,3,3,3,3,4,4,3
2021/01/18 2:58:18 午後 GMT+9,3984096,27,女性,2,3,3,4,3,4,4,1,3,4,2,2,2,2,2,5,5,2,2,3,2,4,3,2,1,1
2021/01/18 2:58:18 午後 GMT+9,741515,42,女性,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,3,2,3,2,3,3,3,3,3,3,4
2021/01/18 2:58:24 午後 GMT+9,753876,48,男性,4,4,2,3,4,5,5,4,2,3,3,4,3,4,4,3,2,4,1,1,3,3,3,3,1,2
2021/01/18 2:58:25 午後 GMT+9,2779575,40,男性,2,2,4,4,2,1,1,1,1,1,1,1,2,1,1,4,5,2,1,1,1,1,1,1,1,1
2021/01/18 2:58:25 午後 GMT+9,2717163,36,男性,4,4,4,2,4,4,4,4,3,3,4,3,3,2,3,2,5,3,2,2,4,4,3,2,1,2
2021/01/18 2:58:39 午後 GMT+9,3770345,38,女性,3,2,4,2,3,2,3,2,2,3,3,2,2,3,3,4,3,3,3,2,4,3,3,3,3,2
2021/01/18 2:58:39 午後 GMT+9,2613017,42,男性,3,3,3,3,2,2,1,1,2,2,1,1,2,2,3,2,4,2,1,1,1,2,1,1,1,2
2021/01/18 2:58:40 午後 GMT+9,3693965,70,男性,3,3,3,3,3,2,2,4,2,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2
2021/01/18 2:58:42 午後 GMT+9,3700270,47,女性,2,2,1,4,2,2,3,4,2,2,4,2,2,1,1,2,5,1,1,1,2,1,2,3,1,1
2021/01/18 2:58:43 午後 GMT+9,1023645,28,男性,4,4,3,2,3,5,5,5,3,4,5,4,3,2,3,3,4,2,1,2,2,3,3,3,2,2
2021/01/18 2:58:44 午後 GMT+9,261183,49,男性,2,2,2,4,2,1,1,1,1,1,1,1,2,1,1,2,4,2,1,1,1,1,1,1,1,1
2021/01/18 2:58:45 午後 GMT+9,915200,26,女性,2,1,2,4,3,3,3,3,1,3,2,2,2,1,1,1,5,1,1,1,1,2,2,2,1,1
2021/01/18 2:58:45 午後 GMT+9,275026,45,男性,4,4,3,3,3,3,3,4,3,3,3,3,4,2,3,3,4,3,2,2,2,2,3,3,2,2
2021/01/18 2:58:50 午後 GMT+9,1457405,50,女性,4,4,5,2,4,4,4,5,5,5,3,4,4,2,2,4,5,2,1,1,4,3,3,2,2,1
2021/01/18 2:58:58 午後 GMT+9,1926873,44,女性,4,4,4,2,4,4,4,4,2,3,3,3,3,2,2,3,4,3,2,1,1,2,2,3,2,2
2021/01/18 2:58:59 午後 GMT+9,700757,41,女性,2,2,1,4,2,1,1,3,1,3,3,2,1,2,2,1,4,2,1,1,2,1,3,2,1,1
2021/01/18 2:59:04 午後 GMT+9,4115859,21,女性,1,1,1,5,3,1,1,1,1,3,1,1,1,1,2,1,5,2,1,1,1,1,3,2,1,1
2021/01/18 2:59:10 午後 GMT+9,2842236,42,女性,2,1,1,4,2,2,2,2,1,1,3,2,1,3,3,2,2,3,1,1,1,2,2,2,1,1
2021/01/18 2:59:11 午後 GMT+9,839318,42,男性,2,2,4,2,2,2,2,2,2,2,4,2,2,4,4,4,2,3,3,3,3,3,3,4,4,3
2021/01/18 2:59:11 午後 GMT+9,1130201,32,女性,2,3,1,2,1,1,1,1,1,3,1,1,2,2,2,3,4,2,1,1,1,1,3,1,1,1
2021/01/18 2:59:13 午後 GMT+9,3956075,37,女性,2,2,1,5,1,1,2,2,1,1,3,1,2,1,1,1,5,1,1,1,2,1,2,2,1,1
2021/01/18 2:59:14 午後 GMT+9,3400586,34,女性,4,4,4,4,4,2,2,2,2,2,3,2,2,2,2,4,4,2,2,2,3,2,2,2,2,2
2021/01/18 2:59:17 午後 GMT+9,3973246,30,女性,4,4,3,1,3,4,4,4,3,3,4,4,4,1,2,5,5,3,1,1,3,3,3,3,1,1
2021/01/18 2:59:20 午後 GMT+9,2180490,53,男性,4,4,2,2,2,1,1,4,5,2,1,3,3,4,4,2,1,4,2,1,4,2,2,1,4,4
2021/01/18 2:59:30 午後 GMT+9,2253552,38,男性,3,2,1,3,2,2,1,3,1,2,4,2,2,2,2,1,4,2,1,1,1,2,2,1,1,2
2021/01/18 2:59:36 午後 GMT+9,1912274,41,男性,2,2,3,4,2,3,2,2,1,3,3,3,2,3,2,2,5,2,1,1,3,1,2,3,2,1
2021/01/18 2:59:37 午後 GMT+9,1207185,50,男性,4,4,2,1,4,5,4,5,4,4,4,4,5,4,4,2,1,4,3,3,3,4,4,3,3,4
2021/01/18 2:59:39 午後 GMT+9,2574468,41,女性,4,4,3,3,4,4,4,4,4,4,4,4,3,2,2,4,4,2,1,1,1,3,3,4,2,2
2021/01/18 2:59:40 午後 GMT+9,2106307,47,女性,4,4,3,2,3,3,3,3,2,3,3,3,3,3,3,4,4,3,2,2,2,2,3,3,2,2
2021/01/18 2:59:41 午後 GMT+9,3755239,30,女性,2,2,2,5,2,3,1,4,3,3,3,1,1,2,2,2,5,2,1,1,3,2,3,3,1,1
2021/01/18 2:59:41 午後 GMT+9,749680,39,女性,4,3,1,2,2,5,4,3,2,2,2,2,3,4,2,1,4,3,2,2,2,2,2,2,2,2
2021/01/18 2:59:41 午後 GMT+9,1790440,56,男性,3,3,2,2,2,3,3,3,1,2,3,3,3,3,3,2,3,3,2,1,2,2,2,2,2,3
2021/01/18 2:59:42 午後 GMT+9,2400066,38,女性,3,3,3,4,3,2,3,3,2,3,3,3,3,2,2,2,5,2,2,2,2,2,3,3,2,2
2021/01/18 2:59:43 午後 GMT+9,3328808,57,女性,1,1,2,3,2,2,2,3,2,2,2,1,2,1,2,3,3,2,2,2,3,2,2,3,2,2
2021/01/18 2:59:49 午後 GMT+9,3986009,40,男性,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,1,1,2,2,1,1,3,2,2,1,2
2021/01/18 2:59:51 午後 GMT+9,3906742,48,女性,3,3,2,2,3,3,3,3,2,3,4,3,3,3,3,2,4,3,3,2,2,2,3,3,2,2
2021/01/18 2:59:52 午後 GMT+9,3737986,30,男性,4,4,4,2,4,3,3,3,3,2,3,3,3,2,2,2,4,2,2,2,2,3,3,3,2,2
2021/01/18 2:59:53 午後 GMT+9,3828894,38,男性,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,4,2,1,1,1,1,2,2,3,1
2021/01/18 2:59:56 午後 GMT+9,982936,28,男性,2,2,2,4,2,3,3,3,1,2,3,2,2,1,2,1,5,2,1,1,2,1,2,1,1,2
2021/01/18 2:59:56 午後 GMT+9,3968292,52,女性,5,5,4,2,4,4,4,3,3,3,3,4,4,5,5,5,2,5,3,3,3,3,3,4,4,4
2021/01/18 2:59:59 午後 GMT+9,907080,44,女性,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,5,4,2,1,1,1,1,2,2,1,2
2021/01/18 3:00:04 午後 GMT+9,3287528,37,男性,3,3,4,5,3,4,4,4,1,3,3,2,2,3,3,4,5,3,3,3,4,2,3,3,2,2
